Cert #,Type,Description,Grade,After Service
91486630,Card,2023 BOWMAN MEGA BOX CHROME 145 XAVIER ISAAC,MINT 9 ,Shipped to you
91486631,Card,2023 BOWMAN MEGA BOX CHROME 111 JOSUE DE PAULA,GEM MINT 10 ,Shipped to you
91486632,Card,2022 PANINI MOSAIC 367 BROCK PURDY CAMO PINK,GEM MINT 10 ,Shipped to you
91486633,Card,2023 PANINI PRIZM 375 KENDRE MILLER BLUE ICE,GEM MINT 10 ,Shipped to you
91486634,Card,2023 PANINI PRIZM 378 JALIN HYATT NO HUDDLE PURPLE,GEM MINT 10 ,Shipped to you
91486635,Card,2023 BOWMAN CHROME PROSPECTS BCP76 JACKSON CHOURIO BLUE RAYWAVE REFRACTOR,NEAR MINT-MINT 8 ,Shipped to you
91486636,Card,2023 BOWMAN CHROME PROSPECTS BCP1 ZACK GELOF LAVA REFRACTOR,MINT 9 ,Shipped to you
91486637,Card,2023 PANINI PRIZM 305 BIJAN ROBINSON NEON GREEN PULSAR,GEM MINT 10 ,Shipped to you
91486638,Card,2023 PANINI PRIZM 331 JAHMYR GIBBS GREEN PRIZM,MINT 9 ,Shipped to you
91486639,Card,2022 PANINI PRIZM 329 GEORGE PICKENS BLUE WAVE,MINT 9 ,Shipped to you
91486640,Card,2023 PANINI PRIZM 343 ANTHONY RICHARDSON GREEN WAVE,GEM MINT 10 ,Shipped to you
91486641,Card,2023 PANINI PRIZM 397 WILL LEVIS PANDORA,MINT 9 ,Shipped to you
91486642,Card,2023 PANINI PRIZM 397 WILL LEVIS BLUE SPARKLE,GEM MINT 10 ,Shipped to you
91486643,Card,2023 PANINI PRIZM 339 CJ STROUD ,GEM MINT 10 ,Shipped to you
91486644,Card,2023 PANINI PRIZM 339 CJ STROUD ,GEM MINT 10 ,Shipped to you
91486645,Card,2023 PANINI PRIZM 339 CJ STROUD ,MINT 9 ,Shipped to you
91486646,Card,2023 PANINI PRIZM 339 CJ STROUD GREEN PRIZM,GEM MINT 10 ,Shipped to you
91486647,Card,2023 PANINI PRIZM 339 CJ STROUD LAZER PRIZM,GEM MINT 10 ,Shipped to you
91486648,Card,2023 PANINI PRIZM 339 CJ STROUD LAZER PRIZM,GEM MINT 10 ,Shipped to you
91486649,Card,2023 PANINI PRIZM 339 CJ STROUD LAZER PRIZM,GEM MINT 10 ,Shipped to you
91486650,Card,2023 PANINI PRIZM 343 ANTHONY RICHARDSON LAZER PRIZM,MINT 9 ,Shipped to you
91486651,Card,2023 PANINI MOSAIC 377 WILL LEVIS REACTIVE BLUE,MINT 9 ,Shipped to you
91486652,Card,2023 PANINI PRIZM 311 BRYCE YOUNG GREEN PRIZM,MINT 9 ,Shipped to you
91486653,Card,2023 PANINI PRIZM 332 SAM LaPORTA RED/WHITE/BLUE PRIZM,MINT 9 ,Shipped to you
91486654,Card,2023 PANINI PRIZM 360 AIDAN O'CONNELL PURPLE ICE,GEM MINT 10 ,Shipped to you
91486655,Card,2023 PANINI PRIZM 360 AIDAN O'CONNELL AUTOGRAPH,MINT 9 ,Shipped to you
91486656,Card,2020 PANINI DONRUSS OPTIC 154 JORDAN LOVE BLUE SCOPE,MINT 9 ,Shipped to you
91486657,Card,2021 BOWMAN DRAFT CHROME SAPPHIRE EDITION BDC186 BRADY HOUSE,GEM MINT 10 ,Shipped to you
91486658,Card,2023 PANINI DONRUSS 339 CJ STROUD OPTIC PREVIEW-RED & GREEN,MINT 9 ,Shipped to you
91486659,Card,2023 PANINI MOSAIC INTRODUCTIONS I2 CJ STROUD NO HUDDLE SILVER,MINT 9 ,Shipped to you
91486660,Card,2023 PANINI PRIZM 339 CJ STROUD NEON GREEN PULSAR,MINT 9 ,Shipped to you
91486661,Card,2023 PANINI PRIZM 339 CJ STROUD LAZER PRIZM,GEM MINT 10 ,Shipped to you
91486662,Card,2023 PANINI PRIZM 339 CJ STROUD LAZER PRIZM,GEM MINT 10 ,Shipped to you
91486663,Card,2023 PANINI DONRUSS 343 ANTHONY RICHARDSON OPTIC PREVIEW-BLUE SCOPE,MINT 9 ,Shipped to you
91486664,Card,2023 PANINI PRIZM 311 BRYCE YOUNG SILVER PRIZM,GEM MINT 10 ,Shipped to you
91486665,Card,2023 PANINI PRIZM 311 BRYCE YOUNG SILVER PRIZM,MINT 9 ,Shipped to you
91486666,Card,2023 PANINI PRIZM 397 WILL LEVIS BLACK & WHITE CHECKER,MINT 9 ,Shipped to you
91486667,Card,2023 PANINI PRIZM 357 PUKA NACUA LAZER PRIZM,GEM MINT 10 ,Shipped to you
91486668,Card,2023 PANINI PRIZM 357 PUKA NACUA LAZER PRIZM,GEM MINT 10 ,Shipped to you
91486669,Card,2023 PANINI PRIZM 357 PUKA NACUA LAZER PRIZM,GEM MINT 10 ,Shipped to you
91486670,Card,2023 PANINI PRIZM 357 PUKA NACUA LAZER PRIZM,GEM MINT 10 ,Shipped to you
91486671,Card,2022 PANINI PRIZM 353 BROCK PURDY GREEN PRIZM,GEM MINT 10 ,Shipped to you
91486672,Card,2022 PANINI CHRONICLES PRIZM BLACK PB8 BROCK PURDY,MINT 9 ,Shipped to you
91486673,Card,2022 PANINI CHRONICLES PRIZM BLACK PB8 BROCK PURDY,MINT 9 ,Shipped to you
91486674,Card,2022 PANINI DONRUSS OPTIC 277 BROCK PURDY ORANGE,GEM MINT 10 ,Shipped to you
91486675,Card,2022 PANINI DONRUSS ELITE 185 BROCK PURDY PURPLE,MINT 9 ,Shipped to you
91486676,Card,2023 PANINI PRIZM 315 HENDON HOOKER VARIATION-NO HUDDLE,GEM MINT 10 ,Shipped to you
91486677,Card,2023 PANINI PRIZM 368 JORDAN ADDISON ORANGE WAVE,GEM MINT 10 ,Shipped to you
91486678,Card,2023 PANINI MOSAIC NFL DEBUT ND12 JAXON SMITH-NJIGBA WHITE,MINT 9 ,Shipped to you
91486679,Card,2018 TOPPS CHROME UPDATE HMT55 JUAN SOTO PINK REFRACTOR,GEM MINT 10 ,Shipped to you
91486680,Card,2023 PANINI PRIZM DRAFT PICKS 2 VICTOR WEMBANYAMA GREEN PRIZM,GEM MINT 10 ,Shipped to you
91486681,Card,2023 PANINI PRIZM 136 VICTOR WEMBANYAMA,MINT 9 ,Shipped to you
91486682,Card,2023 BOWMAN MEGA BOX CHROME 218 JOENDRY VARGAS,MINT 9 ,Shipped to you
91486683,Card,2023 PANINI PHOENIX 102 CJ STROUD LAVA,GEM MINT 10 ,Shipped to you
91486684,Card,2023 PANINI PRIZM 341 TANK DELL GREEN ICE,MINT 9 ,Shipped to you
91486685,Card,2024 TOPPS HERITAGE 478 ANDREW HEANEY FLIP STOCK,MINT 9 ,Shipped to you
91486686,Card,2023 BOWMAN CHROME PROSPECTS BCP139 SPENCER JONES,GEM MINT 10 ,Shipped to you
91486687,Card,2023 PANINI PRIZM 309 JAXON SMITH-NJIGBA VARIATION,EXCELLENT 5 ,Shipped to you
91486688,Card,2022 BOWMAN DRAFT BDC190 JETT WILLIAMS CHROME-REFRACTOR,MINT 9 ,Shipped to you
91486689,Card,2023 PANINI PRIZM 284 LEAKY BLACK TEAL ICE,GEM MINT 10 ,Shipped to you
91486690,Card,2023 PANINI PRIZM 134 GRADEY DICK ICE,MINT 9 ,Shipped to you
91486691,Card,2023 PANINI PRIZM 307 ZAY FLOWERS LAZER PRIZM,GEM MINT 10 ,Shipped to you
91486692,Card,2023 PANINI MOSAIC RAZZLE DAZZLE RD24 JAHMYR GIBBS,GEM MINT 10 ,Shipped to you
91486693,Card,2023 PANINI DONRUSS 331 JAHMYR GIBBS OPTIC PREVIEW-BLUE SCOPE,MINT 9 ,Shipped to you
91486694,Card,2023 PANINI PRIZM 141 SCOOT HENDERSON SILVER PRIZM,MINT 9 ,Shipped to you
91486695,Card,2023 PANINI PRIZM 141 SCOOT HENDERSON RED ICE,GEM MINT 10 ,Shipped to you
91486696,Card,2023 PANINI PRIZM 137 JAIME JAQUEZ JR. RED ICE,NEAR MINT-MINT 8 ,Shipped to you
91486697,Card,2022 PANINI CHRONICLES PRIZM BLACK PB11 DRAKE LONDON SILVER,GEM MINT 10 ,Shipped to you
91486698,Card,2022 PANINI DONRUSS OPTIC 207 DRAKE LONDON RED HYPER,MINT 9 ,Shipped to you
91486699,Card,2023 PANINI PRIZM PRIZM BREAK PB4 ANTHONY RICHARDSON GREEN PRIZM,GEM MINT 10 ,Shipped to you
91486700,Card,2023 PANINI PRIZM 343 ANTHONY RICHARDSON SILVER PRIZM,MINT 9 ,Shipped to you
91486701,Card,2023 PANINI PRIZM DEEP SPACE 1 VICTOR WEMBANYAMA,MINT 9 ,Shipped to you
91486702,Card,2022 PANINI DONRUSS OPTIC 208 JAMESON WILLIAMS STARS,NEAR MINT-MINT 8 ,Shipped to you
91486703,Card,2023 PANINI PRIZM 396 TYJAE SPEARS ORANGE ICE,GEM MINT 10 ,Shipped to you
