Cert #,Type,Description,Grade,After Service
91486594,Card,2023 PANINI MOSAIC NFL DEBUT ND8 DE'VON ACHANE PURPLE,GEM MINT 10 ,Shipped to you
91486595,Card,2023 PANINI PRIZM 368 JORDAN ADDISON SILVER PRIZM,GEM MINT 10 ,Shipped to you
91486596,Card,2023 BOWMAN MEGA BOX CHROME 61 JUNIOR CAMINERO,GEM MINT 10 ,Shipped to you
91486597,Card,2023 BOWMAN MEGA BOX CHROME 61 JUNIOR CAMINERO,GEM MINT 10 ,Shipped to you
91486598,Card,2023 TOPPS CHROME UPDATE ACTION STARS AUTOGRAPH CC CORBIN CARROLL,NEAR MINT 7 ,Shipped to you
91486599,Card,2023 BOWMAN CHROME PROSPECTS BCP246 JACKSON CHOURIO SPECKLE,MINT 9 ,Shipped to you
91486600,Card,2022 BOWMAN CHROME PROSPECTS BCP50 ELLY DE LA CRUZ FUCHSIA LAVA REFRACTOR,MINT 9 ,Shipped to you
91486601,Card,2023 PANINI DONRUSS DOWNTOWN! D16 QUENTIN JOHNSTON,MINT 9 ,Shipped to you
91486602,Card,2023 PANINI PRIZM 375 KENDRE MILLER RED SPARKLE,GEM MINT 10 ,Shipped to you
91486603,Card,2022 PANINI SELECT 343 GEORGE PICKENS COSMIC PRIZM,MINT 9 ,Shipped to you
91486604,Card,2023 PANINI PRIZM PRIZM FLASHBACK ROOKIE PFR6 BIJAN ROBINSON NO HUDDLE,MINT 9 ,Shipped to you
91486605,Card,2023 PANINI PRIZM 396 TYJAE SPEARS SILVER PRIZM,MINT 9 ,Shipped to you
91486606,Card,2023 PANINI DONRUSS 339 CJ STROUD OPTIC PREVIEW-BLUE SCOPE,MINT 9 ,Shipped to you
91486607,Card,2023 BOWMAN CHROME PROSPECT AUTOGRAPHS CPACT COLBY THOMAS BLUE,NEAR MINT-MINT 8 ,Shipped to you
91486608,Card,2023 PANINI PRIZM 169 EMONI BATES RED SEISMIC,GEM MINT 10 ,Shipped to you
91486609,Card,2023 PANINI PRIZM 151 KOBE BUFKIN PINK ICE,MINT 9 ,Shipped to you
91486610,Card,2023 PANINI PRIZM 151 KOBE BUFKIN RED POWER,GEM MINT 10 ,Shipped to you
91486611,Card,2023 PANINI PRIZM 151 KOBE BUFKIN RED SEISMIC,MINT 9 ,Shipped to you
91486612,Card,2023 PANINI PRIZM 151 KOBE BUFKIN RED SEISMIC,MINT 9 ,Shipped to you
91486613,Card,2023 PANINI PRIZM 151 KOBE BUFKIN SILVER PRIZM,MINT 9 ,Shipped to you
91486614,Card,2023 PANINI PRIZM 151 KOBE BUFKIN SILVER PRIZM,GEM MINT 10 ,Shipped to you
91486615,Card,2023 PANINI PRIZM 151 KOBE BUFKIN PULSAR,GEM MINT 10 ,Shipped to you
91486616,Card,2023 PANINI PRIZM 145 JALEN HOOD-SCHIFINO BLUE PRIZM,GEM MINT 10 ,Shipped to you
91486617,Card,2023 PANINI PRIZM 145 JALEN HOOD-SCHIFINO SILVER PRIZM,GEM MINT 10 ,Shipped to you
91486618,Card,2023 PANINI PRIZM 145 JALEN HOOD-SCHIFINO WHITE PRIZM,GEM MINT 10 ,Shipped to you
91486619,Card,2023 PANINI PRIZM 145 JALEN HOOD-SCHIFINO RED PRIZM,MINT 9 ,Shipped to you
91486620,Card,2023 PANINI PRIZM 179 GG JACKSON II SILVER PRIZM,MINT 9 ,Shipped to you
91486621,Card,2023 PANINI PRIZM 179 GG JACKSON II SILVER PRIZM,MINT 9 ,Shipped to you
91486622,Card,2023 PANINI PRIZM 353 QUENTIN JOHNSTON SILVER PRIZM,MINT 9 ,Shipped to you
91486623,Card,2023 PANINI PRIZM 397 WILL LEVIS ,MINT 9 ,Shipped to you
91486624,Card,2022 PANINI PRIZM 228 JABARI SMITH JR. SILVER PRIZM,GEM MINT 10 ,Shipped to you
91486625,Card,2023 PANINI DONRUSS 339 CJ STROUD,GEM MINT 10 ,Shipped to you
91486626,Card,2023 PANINI PRIZM 129 CAM WHITMORE SILVER PRIZM,MINT 9 ,Shipped to you
91486627,Card,2023 PANINI PRIZM 311 BRYCE YOUNG RED/WHITE/BLUE PRIZM,GEM MINT 10 ,Shipped to you
91486628,Card,2023 PANINI PRIZM MONOPOLY 81 VICTOR WEMBANYAMA,GEM MINT 10 ,Shipped to you
91486629,Card,2023 BOWMAN CHROME PROSPECTS BCP164 JESUS CABA PURPLE,NEAR MINT-MINT 8 ,Shipped to you
