"Cert #","Type","Description","Grade","After Service"
"94100537","Card","2023 PANINI PRIZM DRAFT PICKS 117 De'VON ACHANE SNAKESKIN PRIZM","GEM MINT 10 ","Shipped to you"
"94100538","Card","2023 PANINI SPECTRA 129 JORDAN ADDISON INTERSTELLAR","MINT 9 ","Shipped to you"
"94100539","Card","2023 BOWMAN UNIVERSITY CHROME 75 CAMERON BRINK PINK REFRACTOR","MINT 9 ","Shipped to you"
"94100540","Card","2023 BOWMAN CHROME PROSPECTS BCP156 FELNIN CELESTEN SHIMMER REFRACTOR","MINT 9 ","Shipped to you"
"94100541","Card","2023 BOWMAN CHROME PROSPECT AUTOGRAPHS CPAFC FELNIN CELESTEN PURPLE","GEM MINT 10 ","Shipped to you"
"94100542","Card","2023 BOWMAN CHROME MEGA BOX AUTOGRAPHS FC FELNIN CELESTEN GREEN","MINT 9 ","Shipped to you"
"94100543","Card","2022 PANINI DONRUSS OPTIC 215 JAMES COOK BLUE GLITTER","MINT 9 ","Shipped to you"
"94100544","Card","2018 PANINI CHRONICLES 166 LUKA DONCIC","MINT 9 ","Shipped to you"
"94100545","Card","2021 PANINI DONRUSS OPTIC 204 JUSTIN FIELDS HOLO","MINT 9 ","Shipped to you"
"94100546","Card","2023 PANINI PRIZM 313 JAHMYR GIBBS VARIATION","GEM MINT 10 ","Shipped to you"
"94100547","Card","2023 BOWMAN MEGA BOX CHROME 154 DAIVERSON GUTIERREZ BLUE","GEM MINT 10 ","Shipped to you"
"94100548","Card","2023 PANINI DONRUSS DOWNTOWN! D16 QUENTIN JOHNSTON","GEM MINT 10 ","Shipped to you"
"94100549","Card","2023 PANINI MOSAIC 356 QUENTIN JOHNSTON AUTOGRAPH-PURPLE","MINT 9 ","Shipped to you"
"94100550","Card","2023 PANINI PRIZM 314 ROSCHON JOHNSON BLUE ICE","GEM MINT 10 ","Shipped to you"
"94100551","Card","2023 BOWMAN CHROME SAPPHIRE EDITION PROSPECTS 178 SPENCER JONES SP","NEAR MINT-MINT 8 ","Shipped to you"
"94100552","Card","2023 PANINI PRIZM 375 KENDRE MILLER NO HUDDLE NEON GREEN","MINT 9 ","Shipped to you"
"94100553","Card","2023 BOWMAN MEGA BOX CHROME 58 LAZARO MONTES","GEM MINT 10 ","Shipped to you"
"94100554","Card","2022 BOWMAN CHROME X PROSPECTS 212 COLSON MONTGOMERY","GEM MINT 10 ","Shipped to you"
"94100555","Card","2022 PANINI DONRUSS OPTIC DOWNTOWN DTDR DESMOND RIDDER","MINT 9 ","Shipped to you"
"94100556","Card","2022 BOWMAN DRAFT CHROME SAPPHIRE EDITION BDC136 RYAN RITTER GOLD","GEM MINT 10 ","Shipped to you"
"94100557","Card","2023 BOWMAN CHROME PROSPECT AUTOGRAPHS CPALRZ LIZANDRO RODRIGUEZ ORANGE SHIMMER","GEM MINT 10 ","Shipped to you"
"94100558","Card","2023 BOWMAN CHROME PROSPECTS BCP161 DANGELO SARMIENTO PURPLE SHIMMER REFRACTOR","GEM MINT 10 ","Shipped to you"
"94100559","Card","2023 PANINI PRIZM 396 TYJAE SPEARS BLUE SPARKLE","GEM MINT 10 ","Shipped to you"
"94100560","Card","2023 PANINI PRIZM 339 CJ STROUD SILVER PRIZM","MINT 9 ","Shipped to you"
"94100561","Card","2023 TOPPS CHROME LIDS 1952 DESIGN 52-2 ANTHONY VOLPE","GEM MINT 10 ","Shipped to you"
"94100562","Card","2023 BOWMAN CHROME PROSPECTS BCP189 SEBASTIAN WALCOTT SPECKLE REFRACTOR","MINT 9 ","Shipped to you"
"94100563","Card","2023 BOWMAN CHROME PROSPECTS BCP189 SEBASTIAN WALCOTT FUCHSIA SHIMMER REFRACTOR","GEM MINT 10 ","Shipped to you"
"94100564","Card","2023 PANINI DONRUSS 311 BRYCE YOUNG NO NAME","MINT 9 ","Shipped to you"
"94100565","Card","2023 PANINI PRIZM 368 JORDAN ADDISON ORANGE ICE","GEM MINT 10 ","Shipped to you"
"94100566","Card","2023 PANINI PRIZM 368 JORDAN ADDISON ORANGE ICE","GEM MINT 10 ","Shipped to you"
"94100567","Card","2023 PANINI PRIZM 308 JORDAN ADDISON VARIATION-NO HUDDLE","GEM MINT 10 ","Shipped to you"
"94100568","Card","2023 PANINI PRIZM 368 JORDAN ADDISON NO HUDDLE BLUE","GEM MINT 10 ","Shipped to you"
"94100569","Card","2023 PANINI PRIZM 358 STETSON BENNETT IV BLUE WAVE","NEAR MINT-MINT 8 ","Shipped to you"
"94100570","Card","2023 PANINI PRIZM 358 STETSON BENNETT IV BLUE WAVE","MINT 9 ","Shipped to you"
"94100571","Card","2023 PANINI PRIZM 335 CHASE BROWN VARIATION","GEM MINT 10 ","Shipped to you"
"94100572","Card","1999 FINEST 64 KOBE BRYANT W/COATING","MINT 9 ","Shipped to you"
"94100573","Card","1996 METAL 181 KOBE BRYANT","MINT 9 ","Shipped to you"
"94100574","Card","2023 PANINI PRIZM 341 TANK DELL ORANGE ICE","GEM MINT 10 ","Shipped to you"
"94100575","Card","2021 PANINI DONRUSS OPTIC 204 JUSTIN FIELDS HOLO VARIATION","GEM MINT 10 ","Shipped to you"
"94100576","Card","2023 PANINI PRIZM 307 ZAY FLOWERS ORANGE ICE","GEM MINT 10 ","Shipped to you"
"94100577","Card","2023 PANINI PRIZM 317 ZAY FLOWERS VARIATION-NO HUDDLE","GEM MINT 10 ","Shipped to you"
"94100578","Card","2023 PANINI PRIZM 307 ZAY FLOWERS GREEN ICE","GEM MINT 10 ","Shipped to you"
"94100579","Card","2023 PANINI PRIZM 307 ZAY FLOWERS GREEN ICE","GEM MINT 10 ","Shipped to you"
"94100580","Card","2023 PANINI PRIZM 331 JAHMYR GIBBS GREEN ICE","MINT 9 ","Shipped to you"
"94100581","Card","2023 PANINI PRIZM 331 JAHMYR GIBBS BLUE SPARKLE","GEM MINT 10 ","Shipped to you"
"94100582","Card","2023 PANINI PRIZM 331 JAHMYR GIBBS ORANGE PRIZM","GEM MINT 10 ","Shipped to you"
"94100583","Card","2018 PANINI DONRUSS OPTIC 162 SHAI GILGEOUS-ALEXANDER SHOCK","MINT 9 ","Shipped to you"
"94100584","Card","2023 PANINI PRIZM 315 HENDON HOOKER VARIATION-GREEN WAVE","GEM MINT 10 ","Shipped to you"
"94100585","Card","1997 METAL UNIVERSE 23 MICHAEL JORDAN","MINT 9 ","Shipped to you"
"94100586","Card","1988 FLEER 120 MICHAEL JORDAN ALL-STAR","EXCELLENT-MINT 6 ","Shipped to you"
"94100587","Card","1998 FINEST 81 MICHAEL JORDAN W/COATING","NEAR MINT-MINT 8 ","Shipped to you"
"94100588","Card","2023 PANINI DONRUSS 397 WILL LEVIS OPTIC PREVIEW-BLUE SCOPE","GEM MINT 10 ","Shipped to you"
"94100589","Card","2023 PANINI PRIZM 397 WILL LEVIS GREEN WAVE","GEM MINT 10 ","Shipped to you"
"94100590","Card","2020 PANINI DONRUSS OPTIC 154 JORDAN LOVE BLUE SCOPE","GEM MINT 10 ","Shipped to you"
"94100591","Card","2020 PANINI PRIZM 363 JORDAN LOVE GREEN PRIZM","GEM MINT 10 ","Shipped to you"
"94100592","Card","2023 PANINI PRIZM 357 PUKA NACUA ORANGE ICE","GEM MINT 10 ","Shipped to you"
