"Cert #","Type","Description","Grade","After Service"
"94100593","Card","2023 PANINI PRIZM 386 JOEY PORTER JR. BLACK & WHITE CHECKER","GEM MINT 10 ","Shipped to you"
"94100594","Card","2022 PANINI DONRUSS OPTIC 277 BROCK PURDY PURPLE SHOCK","GEM MINT 10 ","Shipped to you"
"94100595","Card","2023 PANINI PRIZM 334 JAYDEN REED BLACK & WHITE CHECKER","GEM MINT 10 ","Shipped to you"
"94100596","Card","2023 PANINI PRIZM 332 JAYDEN REED VARIATION-NO HUDDLE","GEM MINT 10 ","Shipped to you"
"94100597","Card","2023 PANINI MOSAIC NFL DEBUT ND5 ANTHONY RICHARDSON BLUE","MINT 9 ","Shipped to you"
"94100598","Card","2023 PANINI PRIZM 305 BIJAN ROBINSON VARIATION-NO HUDDLE","GEM MINT 10 ","Shipped to you"
"94100599","Card","2023 PANINI PRIZM 305 BIJAN ROBINSON VARIATION","GEM MINT 10 ","Shipped to you"
"94100600","Card","2023 PANINI PRIZM 305 BIJAN ROBINSON ORANGE ICE","NEAR MINT-MINT 8 ","Shipped to you"
"94100601","Card","2023 PANINI PRIZM 305 BIJAN ROBINSON ORANGE ICE","GEM MINT 10 ","Shipped to you"
"94100602","Card","2023 PANINI PRIZM 305 BIJAN ROBINSON VARIATION-GREEN WAVE","MINT 9 ","Shipped to you"
"94100603","Card","2023 PANINI PRIZM 305 BIJAN ROBINSON PURPLE WAVE","GEM MINT 10 ","Shipped to you"
"94100604","Card","2023 PANINI PRIZM 309 JAXON SMITH-NJIGBA VARIATION-NO HUDDLE","GEM MINT 10 ","Shipped to you"
"94100605","Card","2020 PANINI PRIZM 339 TUA TAGOVAILOA RED ICE","NEAR MINT-MINT 8 ","Shipped to you"
"94100606","Card","2020 PANINI PRIZM 339 TUA TAGOVAILOA LAZER PRIZM","MINT 9 ","Shipped to you"
"94100607","Card","2022 PANINI PRIZM 309 GARRETT WILSON PURPLE POWER","GEM MINT 10 ","Shipped to you"
"94100608","Card","2023 PANINI PRIZM 301 BRYCE YOUNG VARIATION-GREEN WAVE","MINT 9 ","Shipped to you"
"94100609","Card","2023 PANINI MOSAIC NFL DEBUT ND14 JORDAN ADDISON RED","GEM MINT 10 ","Shipped to you"
"94100610","Card","2021 PANINI PRIZM 320 SCOTTIE BARNES RED/WHITE/BLUE PRIZM","GEM MINT 10 ","Shipped to you"
"94100611","Card","2023 PANINI PRIZM 169 EMONI BATES PURPLE ICE","GEM MINT 10 ","Shipped to you"
"94100612","Card","2023 PANINI PRIZM 169 EMONI BATES RED ICE","MINT 9 ","Shipped to you"
"94100613","Card","2023 PANINI PRIZM 169 EMONI BATES SILVER PRIZM","GEM MINT 10 ","Shipped to you"
"94100614","Card","2023 PANINI PRIZM 169 EMONI BATES GREEN ICE","MINT 9 ","Shipped to you"
"94100615","Card","2023 PANINI PRIZM 144 KOBE BROWN RED PRIZM","GEM MINT 10 ","Shipped to you"
"94100616","Card","2023 PANINI PRIZM 151 KOBE BUFKIN RUBY WAVE","GEM MINT 10 ","Shipped to you"
"94100617","Card","2023 PANINI PRIZM 132 JETT HOWARD GREEN ICE","GEM MINT 10 ","Shipped to you"
"94100618","Card","2023 PANINI PRIZM 132 JETT HOWARD BLUE YELLOW GREEN CHOICE","GEM MINT 10 ","Shipped to you"
"94100619","Card","2023 BOWMAN DRAFT BDC120 XAVIER ISAAC CHROME-YELLOW","GEM MINT 10 ","Shipped to you"
"94100620","Card","2023 PANINI PRIZM 179 GG JACKSON II PINK ICE","GEM MINT 10 ","Shipped to you"
"94100621","Card","2023 PANINI PRIZM 179 GG JACKSON II SILVER PRIZM","MINT 9 ","Shipped to you"
"94100622","Card","2023 PANINI PRIZM 353 QUENTIN JOHNSTON HYPER PRIZM","MINT 9 ","Shipped to you"
"94100623","Card","2023 PANINI PRIZM 353 QUENTIN JOHNSTON NEON GREEN PULSAR","MINT 9 ","Shipped to you"
"94100624","Card","1988 FLEER STICKER 7 MICHAEL JORDAN","EXCELLENT-MINT 6 ","Shipped to you"
"94100625","Card","2021 PANINI CHRONICLES PRIZM BLACK PB-4 TREY LANCE SILVER","GEM MINT 10 ","Shipped to you"
"94100626","Card","2023 PANINI PRIZM 312 JONATHAN MINGO RED PRIZM","MINT 9 ","Shipped to you"
"94100627","Card","2023 TOPPS CHROME UPDATE AUTOGRAPH ACLP LIOVER PEGUERO ORANGE REFRACTOR","GEM MINT 10 ","Shipped to you"
"94100628","Card","2021 BOWMAN CHROME PROSPECT AUTOGRAPHS CPALP LIOVER PEGUERO REFRACTOR","GEM MINT 10 ","Shipped to you"
"94100629","Card","2023 PANINI PRIZM 386 JOEY PORTER JR. ORANGE PRIZM","GEM MINT 10 ","Shipped to you"
"94100630","Card","2023 PANINI PRIZM 390 JAXON SMITH-NJIGBA PINK PRIZM","GEM MINT 10 ","Shipped to you"
"94100631","Card","2023 PANINI PRIZM 390 JAXON SMITH-NJIGBA GREEN WAVE","GEM MINT 10 ","Shipped to you"
"94100632","Card","2023 PANINI PRIZM 339 CJ STROUD PINK PRIZM","MINT 9 ","Shipped to you"
"94100633","Card","2023 BOWMAN DRAFT BDC14 PAUL SKENES CHROME-REFRACTOR","GEM MINT 10 ","Shipped to you"
