"Cert #","Type","Description","Grade","After Service"
"77509970","Card","2018 TOPPS UPDATE 1983 TOPPS BASEBALL 83-13 RONALD ACUNA JR.","MINT 9 ","Shipped to you"
"77509971","Card","2022 PANINI DONRUSS OPTIC 221 PAOLO BANCHERO","MINT 9 ","Shipped to you"
"77509972","Card","2022 PANINI DONRUSS OPTIC T-MINUS 3...2...1... 7 LUKA DONCIC LIME GREEN","GEM MINT 10 ","Shipped to you"
"77509973","Card","2022 PANINI PRIZM 258 TARI EASON RED PRIZM","GEM MINT 10 ","Shipped to you"
"77509974","Card","2022 PANINI DONRUSS OPTIC 228 AHMAD SAUCE GARDNER HOLO","GEM MINT 10 ","Shipped to you"
"77509975","Card","2022 PANINI DONRUSS OPTIC MY HOUSE 8 CHET HOLMGREN HOLO","MINT 9 ","Shipped to you"
"77509976","Card","2020 PANINI DONRUSS OPTIC 164 JALEN HURTS","MINT 9 ","Shipped to you"
"77509977","Card","2020 PANINI DONRUSS OPTIC 164 JALEN HURTS","GEM MINT 10 ","Shipped to you"
"77509978","Card","2020 PANINI SELECT 61 JUSTIN JEFFERSON DIE-CUT PURPLE PRIZM","MINT 9 ","Shipped to you"
"77509979","Card","2022 BOWMAN DRAFT BD130 TERMARR JOHNSON SKY BLUE","MINT 9 ","Shipped to you"
"77509980","Card","1995 FLAIR 235 MICHAEL JORDAN","MINT 9 ","Shipped to you"
"77509981","Card","1991 UPPER DECK 44 MICHAEL JORDAN","EXCELLENT-MINT 6 ","Shipped to you"
"77509982","Card","2021 PANINI DONRUSS OPTIC 201 TREVOR LAWRENCE","EXCELLENT 5 ","Shipped to you"
"77509983","Card","2022 BOWMAN MEGA BOX CHROME 245 MATT MCLAIN ","MINT 9 ","Shipped to you"
"77509984","Card","2022 PANINI DONRUSS OPTIC LIGHT IT UP LU15 GEORGE PICKENS","GEM MINT 10 ","Shipped to you"
"77509985","Card","2022 PANINI DONRUSS OPTIC 201 KENNY PICKETT","NEAR MINT-MINT 8 ","Shipped to you"
"77509986","Card","2022 PANINI DONRUSS 301 KENNY PICKETT ","NEAR MINT-MINT 8 ","Shipped to you"
"77509987","Card","2019 TOPPS UPDATE US56 FERNANDO TATIS JR. RAINBOW FOIL","GEM MINT 10 ","Shipped to you"
