"Cert #","Type","Description","Grade","After Service"
"82441106","Card","2021 BOWMAN CHROME PROSPECTS BCP97 KEVIN ALCANTARA ATOMIC REFRACTOR","MINT 9 ","Shipped to you"
"82441107","Card","1996 STADIUM CLUB MEMBERS ONLY 55 52 KOBE BRYANT W/COATING","GEM MINT 10 ","Shipped to you"
"82441108","Card","1996 BOWMAN'S BEST ROOKIE R23 KOBE BRYANT","MINT 9 ","Shipped to you"
"82441109","Card","1996 BOWMAN'S BEST ROOKIE R23 KOBE BRYANT","GEM MINT 10 ","Shipped to you"
"82441110","Card","2022 BOWMAN CHROME PROSPECTS BCP79 JACKSON CHOURIO","MINT 9 ","Shipped to you"
"82441111","Card","2022 BOWMAN CHROME PROSPECTS BCP50 ELLY DE LA CRUZ","GEM MINT 10 ","Shipped to you"
"82441112","Card","2022 BOWMAN CHROME PROSPECTS BCP50 ELLY DE LA CRUZ","GEM MINT 10 ","Shipped to you"
"82441113","Card","2022 BOWMAN CHROME PROSPECTS BCP50 ELLY DE LA CRUZ","GEM MINT 10 ","Shipped to you"
"82441114","Card","2022 BOWMAN CHROME PROSPECTS BCP50 ELLY DE LA CRUZ","GEM MINT 10 ","Shipped to you"
"82441115","Card","2022 BOWMAN CHROME PROSPECTS BCP50 ELLY DE LA CRUZ","NEAR MINT-MINT 8 ","Shipped to you"
"82441116","Card","2022 BOWMAN CHROME PROSPECTS BCP50 ELLY DE LA CRUZ","MINT 9 ","Shipped to you"
"82441117","Card","2022 PANINI DONRUSS OPTIC 210 JAHAN DOTSON BLUE GLITTER","MINT 9 ","Shipped to you"
"82441118","Card","1990 SCORE 697 BO JACKSON","NEAR MINT-MINT 8 ","Shipped to you"
"82441119","Card","2022 BOWMAN DRAFT BDC130 TERMARR JOHNSON CHROME-SKY BLUE REFRACTOR","NEAR MINT-MINT 8 ","Shipped to you"
"82441120","Card","2022 BOWMAN DRAFT BDC130 TERMARR JOHNSON CHROME-SKY BLUE REFRACTOR","MINT 9 ","Shipped to you"
"82441121","Card","2020 BOWMAN DRAFT CHROME SAPPHIRE EDITION BD70 JARED JONES GREEN","GEM MINT 10 ","Shipped to you"
"82441122","Card","2022 BOWMAN MEGA BOX CHROME 245 MATT MCLAIN ","GEM MINT 10 ","Shipped to you"
"82441123","Card","2018 TOPPS HERITAGE 600 SHOHEI OHTANI","MINT 9 ","Shipped to you"
"82441124","Card","2018 TOPPS LIVING 7 SHOHEI OHTANI","GEM MINT 10 ","Shipped to you"
"82441125","Card","2022 PANINI DONRUSS OPTIC 223 GEORGE PICKENS HOLO VARIATION","MINT 9 ","Shipped to you"
"82441126","Card","2022 PANINI MOSAIC 301 KENNY PICKETT REACTIVE ORANGE","NEAR MINT-MINT 8 ","Shipped to you"
"82441127","Card","2005 TOPPS 431 AARON RODGERS","MINT 9 ","Shipped to you"
"82441128","Card","1990 SCORE 663 FRANK THOMAS","MINT 9 ","Shipped to you"
"82441129","Card","2021 PANINI SELECT 52 KADARIUS TONEY DIE-CUT ZEBRA PRIZM","MINT 9 ","Shipped to you"
"82441130","Card","2022 PANINI PRIZM 257 MARK WILLIAMS GREEN PRIZM","GEM MINT 10 ","Shipped to you"
"82441131","Card","2022 PANINI DONRUSS OPTIC 203 MALIK WILLIS RED HYPER","MINT 9 ","Shipped to you"
"82441132","Card","2022 PANINI SELECT 38 MALIK WILLIS BLUE PRIZM","NEAR MINT-MINT 8 ","Shipped to you"
"82441133","Card","2022 PANINI DONRUSS OPTIC 203 MALIK WILLIS LIME GREEN","GEM MINT 10 ","Shipped to you"
"82441134","Card","2022 PANINI MOSAIC 302 MALIK WILLIS NO HUDDLE PURPLE","GEM MINT 10 ","Shipped to you"
"82441135","Card","2022 PANINI DONRUSS OPTIC 203 MALIK WILLIS BLUE GLITTER","MINT 9 ","Shipped to you"
"82441136","Card","2022 PANINI PRIZM 303 MALIK WILLIS SILVER PRIZM","GEM MINT 10 ","Shipped to you"
"82441137","Card","2022 PANINI DONRUSS P303 MALIK WILLIS OPTIC PREVIEW-GREEN MOJO","GEM MINT 10 ","Shipped to you"
"82441138","Card","2022 PANINI SELECT 38 MALIK WILLIS DIE-CUT ORANGE PRIZM","GEM MINT 10 ","Shipped to you"
"82441139","Card","2022 PANINI PRIZM 303 MALIK WILLIS RED/WHITE/BLUE","MINT 9 ","Shipped to you"
"82441140","Card","2022 PANINI PRIZM 303 MALIK WILLIS RED/WHITE/BLUE","GEM MINT 10 ","Shipped to you"
"82441141","Card","2022 PANINI MOSAIC 302 MALIK WILLIS PURPLE MOSAIC","GEM MINT 10 ","Shipped to you"
"82441142","Card","2022 PANINI DONRUSS OPTIC 201 KENNY PICKETT PURPLE SHOCK","NEAR MINT-MINT 8 ","Shipped to you"
"82441143","Card","2022 PANINI MOSAIC 302 MALIK WILLIS GENESIS","GEM MINT 10 ","Shipped to you"
"82441144","Card","2022 BOWMAN CHROME SAPPHIRE EDITION PROSPECTS BCP245 MATT MCLAIN","MINT 9 ","Shipped to you"
"82441145","Card","1985 TOPPS 9 MARIO LEMIEUX","EXCELLENT-MINT 6 ","Shipped to you"
"82441146","Card","2022 PANINI DONRUSS OPTIC 203 MALIK WILLIS STARS","NEAR MINT-MINT 8 ","Shipped to you"
"82441147","Card","2018 TOPPS 700 SHOHEI OHTANI PITCHING","MINT 9 ","Shipped to you"
"82441148","Card","2022 PANINI DONRUSS OPTIC MY HOUSE MH3 MALIK WILLIS GOLD","GEM MINT 10 ","Shipped to you"
"82441149","Card","2022 PANINI MOSAIC 302 MALIK WILLIS WHITE SPARKLE","MINT 9 ","Shipped to you"
"82441150","Card","2022 PANINI DONRUSS OPTIC ROOKIE KINGS RK1 KENNY PICKETT BLACK PANDORA","NEAR MINT-MINT 8 ","Shipped to you"
"82441151","Card","2020 PANINI MOSAIC 204 JUSTIN HERBERT CAMO PINK","MINT 9 ","Shipped to you"
