Cert #,Type,Description,Grade,After Service
94641695,Card,2023 PANINI PRIZM 306 De'VON ACHANE VARIATION-NO HUDDLE,MINT 9 ,Ship back to me
94641696,Card,2023 PANINI PRIZM 368 JORDAN ADDISON PURPLE ICE,MINT 9 ,Ship back to me
94641697,Card,2023 PANINI PRIZM 368 JORDAN ADDISON GREEN PRIZM,MINT 9 ,Ship back to me
94641698,Card,2023 PANINI PRIZM 308 JORDAN ADDISON VARIATION-NO HUDDLE,GEM MINT 10 ,Ship back to me
94641699,Card,2023 PANINI PRIZM 308 JORDAN ADDISON VARIATION-NO HUDDLE,GEM MINT 10 ,Ship back to me
94641700,Card,2023 PANINI PRIZM 341 TANK DELL ORANGE ICE,MINT 9 ,Ship back to me
94641701,Card,2023 PANINI PRIZM 307 ZAY FLOWERS AUTOGRAPH-NO HUDDLE,MINT 9 ,Ship back to me
94641702,Card,2023 PANINI PRIZM 329 HENDON HOOKER ORANGE ICE,MINT 9 ,Ship back to me
94641703,Card,2020 PANINI PRIZM 398 JUSTIN JEFFERSON DISCO PRIZM,MINT 9 ,Ship back to me
94641704,Card,2023 PANINI PRIZM 353 QUENTIN JOHNSTON BLACK & WHITE CHECKER,GEM MINT 10 ,Ship back to me
94641705,Card,2023 PANINI PRIZM 308 DALTON KINCAID BLACK & WHITE CHECKER,MINT 9 ,Ship back to me
94641706,Card,2020 PANINI PRIZM 334 CEEDEE LAMB DISCO PRIZM,GEM MINT 10 ,Ship back to me
94641707,Card,2020 PANINI PRIZM 334 CEEDEE LAMB DISCO PRIZM,MINT 9 ,Ship back to me
94641708,Card,2023 PANINI PRIZM 332 SAM LaPORTA AUTOGRAPH-NO HUDDLE,MINT 9 ,Ship back to me
94641709,Card,2023 PANINI DONRUSS OPTIC 298 WILL LEVIS BLUE GLITTER,GEM MINT 10 ,Ship back to me
94641710,Card,2023 PANINI PRIZM 397 WILL LEVIS HYPER PRIZM,GEM MINT 10 ,Ship back to me
94641711,Card,2023 PANINI PRIZM 397 WILL LEVIS SILVER PRIZM,MINT 9 ,Ship back to me
94641712,Card,2020 PANINI DONRUSS OPTIC 154 JORDAN LOVE PURPLE SHOCK,MINT 9 ,Ship back to me
94641713,Card,2023 PANINI PRIZM 332 JAYDEN REED VARIATION-GREEN WAVE,MINT 9 ,Ship back to me
94641714,Card,2023 PANINI PRIZM 334 JAYDEN REED ORANGE ICE,MINT 9 ,Ship back to me
94641715,Card,2023 PANINI PRIZM 332 JAYDEN REED VARIATION-NO HUDDLE,GEM MINT 10 ,Ship back to me
94641716,Card,2023 PANINI DONRUSS OPTIC 206 BIJAN ROBINSON BLUE GLITTER,GEM MINT 10 ,Ship back to me
94641717,Card,2023 PANINI PRIZM 305 BIJAN ROBINSON GREEN ICE,MINT 9 ,Ship back to me
94641718,Card,2023 PANINI PRIZM 390 JAXON SMITH-NJIGBA AUTOGRAPH-NO HUDDLE,MINT 9 ,Ship back to me
94641719,Card,2023 PANINI PRIZM 396 TYJAE SPEARS BLACK & WHITE CHECKER,MINT 9 ,Ship back to me
94641720,Card,2023 PANINI MOSAIC INTRODUCTIONS I2 CJ STROUD NO HUDDLE SILVER,MINT 9 ,Ship back to me
94641721,Card,2023 PANINI PRIZM 339 CJ STROUD SILVER PRIZM,MINT 9 ,Ship back to me
94641722,Card,2023 PANINI PRIZM 311 BRYCE YOUNG DISCO PRIZM,MINT 9 ,Ship back to me
94641723,Card,2023 PANINI DONRUSS OPTIC 280 TOMMY DEVITO BLUE GLITTER,MINT 9 ,Ship back to me
94641724,Card,2023 PANINI CLEARLY DONRUSS 97 TOMMY DEVITO AUTOGRAPH-TECHNO,MINT 9 ,Ship back to me
94641725,Card,2022 PANINI PRIZM 306 SAM HOWELL BLUE SPARKLE,MINT 9 ,Ship back to me
94641726,Card,2023 PANINI DONRUSS OPTIC 206 BIJAN ROBINSON HOLO,GEM MINT 10 ,Ship back to me
94641727,Card,2023 PANINI PRIZM 365 De'VON ACHANE NEON GREEN PULSAR,GEM MINT 10 ,Ship back to me
94641728,Card,2022 PANINI PRIZM 338 CALVIN AUSTIN III BLACK & WHITE CHECKER,MINT 9 ,Ship back to me
94641729,Card,2023 PANINI PRIZM 169 EMONI BATES PREMIUM FACTORY SET,GEM MINT 10 ,Ship back to me
94641730,Card,2023 PANINI PRIZM 169 EMONI BATES WHITE PRIZM,MINT 9 ,Ship back to me
94641731,Card,2023 PANINI PRIZM 169 EMONI BATES ORANGE ICE,MINT 9 ,Ship back to me
94641732,Card,2023 PANINI PRIZM 169 EMONI BATES ORANGE ICE,GEM MINT 10 ,Ship back to me
94641733,Card,2004 TOPPS 360 LARRY FITZGERALD COLLECTION,MINT 9 ,Ship back to me
94641734,Card,2023 PANINI PRIZM 157 MOUHAMED GUEYE CHERRY BLOSSOM CHOICE,NEAR MINT-MINT 8 ,Ship back to me
94641735,Card,2023 PANINI PRIZM 130 JORDAN HAWKINS PREMIUM FACTORY SET,GEM MINT 10 ,Ship back to me
94641736,Card,2023 PANINI PRIZM 145 JALEN HOOD-SCHIFINO PURPLE ICE,GEM MINT 10 ,Ship back to me
94641737,Card,2023 PANINI PRIZM 145 JALEN HOOD-SCHIFINO PULSAR,GEM MINT 10 ,Ship back to me
94641738,Card,2023 PANINI PRIZM 179 GG JACKSON II SILVER PRIZM,GEM MINT 10 ,Ship back to me
94641739,Card,2023 BOWMAN CHROME PROSPECT AUTOGRAPHS CPATJ TERMARR JOHNSON GREEN,GEM MINT 10 ,Ship back to me
94641740,Card,2023 BOWMAN MEGA BOX CHROME 139 SPENCER JONES,GEM MINT 10 ,Ship back to me
94641741,Card,2023 PANINI PRIZM 196 TRACY McGRADY RED POWER,MINT 9 ,Ship back to me
94641742,Card,2023 PANINI PRIZM 147 BRANDIN PODZIEMSKI SILVER PRIZM,GEM MINT 10 ,Ship back to me
94641743,Card,2023 PANINI PRIZM 390 JAXON SMITH-NJIGBA GREEN WAVE,MINT 9 ,Ship back to me
94641744,Card,2023 PANINI PRIZM 390 JAXON SMITH-NJIGBA ORANGE ICE,GEM MINT 10 ,Ship back to me
94641745,Card,2004 TOPPS 347 SEAN TAYLOR COLLECTION,EXCELLENT 5 ,Ship back to me
94641746,Card,2023 PANINI PRIZM 150 AMEN THOMPSON ORANGE ICE,MINT 9 ,Ship back to me
94641747,Card,2023 PANINI PRIZM 322 DORIAN THOMPSON-ROBINSON ORANGE ICE,MINT 9 ,Ship back to me
94641748,Card,2023 PANINI PRIZM 182 DWYANE WADE RED SEISMIC,GEM MINT 10 ,Ship back to me
94641749,Card,2023 PANINI PRIZM 129 CAM WHITMORE SILVER PRIZM,MINT 9 ,Ship back to me
94641750,Card,2023 PANINI PRIZM 343 ANTHONY RICHARDSON GREEN WAVE,NEAR MINT-MINT 8 ,Ship back to me
