Cert #,Type,Description,Grade,After Service
92779464,Card,2023 PANINI PRIZM 318 CHASE BROWN HYPER PRIZM,GEM MINT 10 ,Shipped to you
92779465,Card,2023 PANINI PRIZM 318 CHASE BROWN BLUE PRIZM,MINT 9 ,Shipped to you
92779466,Card,2022 BOWMAN CHROME PROSPECTS BCP79 JACKSON CHOURIO AQUA SHIMMER REFRACTOR,MINT 9 ,Shipped to you
92779467,Card,2023 BOWMAN CHROME PROSPECTS BCP252 ROBERTO CLEMENTE RETROFRACTOR-ORANGE,NEAR MINT-MINT 8 ,Shipped to you
92779468,Card,2023 BOWMAN CHROME PROSPECT AUTOGRAPHS CPAKD KEINER DELGADO,GEM MINT 10 ,Shipped to you
92779469,Card,2023 PANINI PRIZM 353 QUENTIN JOHNSTON BLACK & WHITE CHECKER,MINT 9 ,Shipped to you
92779470,Card,2023 PANINI MOSAIC KALEIDOSCOPIC KA7 QUENTIN JOHNSTON,GEM MINT 10 ,Shipped to you
92779471,Card,2020 BOWMAN DRAFT BD70 JARED JONES CHROME-BLUE REFRACTOR,GEM MINT 10 ,Shipped to you
92779472,Card,2023 BOWMAN CHROME PROSPECT AUTOGRAPHS CPAJJ JACE JUNG ORANGE,GEM MINT 10 ,Shipped to you
92779473,Card,2020 PANINI SELECT 347 JORDAN LOVE SILVER PRIZM,GEM MINT 10 ,Shipped to you
92779474,Card,2020 PANINI PHOENIX 104 JORDAN LOVE TEAL,GEM MINT 10 ,Shipped to you
92779475,Card,2020 PANINI MOSAIC 211 JORDAN LOVE GREEN MOSAIC,GEM MINT 10 ,Shipped to you
92779476,Card,2023 BOWMAN CHROME PROSPECTS BCP188 BRANDON MAYEA PURPLE SHIMMER,GEM MINT 10 ,Shipped to you
92779477,Card,2023 PANINI DONRUSS RATED ROOKIES PORTRAIT 14 JONATHAN MINGO AUTOGRAPH,MINT 9 ,Shipped to you
92779478,Card,2023 PANINI PRIZM 350 RASHEE RICE NEON GREEN PULSAR,GEM MINT 10 ,Shipped to you
92779479,Card,2023 BOWMAN MEGA BOX CHROME 171 ETHAN SALAS,GEM MINT 10 ,Shipped to you
92779480,Card,2023 PANINI PRIZM 309 JAXON SMITH-NJIGBA VARIATION,GEM MINT 10 ,Shipped to you
92779481,Card,2023 PANINI PRIZM 339 CJ STROUD ,MINT 9 ,Shipped to you
92779482,Card,2023 PANINI MOSAIC 292 CJ STROUD CAMO PINK,GEM MINT 10 ,Shipped to you
92779483,Card,2023 PANINI PRIZM 339 CJ STROUD GREEN PRIZM,GEM MINT 10 ,Shipped to you
92779484,Card,2023 BOWMAN CHROME PROSPECT AUTOGRAPHS CPACT CRISTOFER TORIN PURPLE,GEM MINT 10 ,Shipped to you
92779485,Card,2023 BOWMAN CHROME PROSPECTS BCP189 SEBASTIAN WALCOTT SHIMMER,MINT 9 ,Shipped to you
92779486,Card,2023 BOWMAN CHROME PROSPECTS BCP189 SEBASTIAN WALCOTT PURPLE SHIMMER,VERY GOOD-EXCELLENT 4 ,Shipped to you
92779487,Card,2023 BOWMAN MEGA BOX CHROME 189 SEBASTIAN WALCOTT BLUE,NEAR MINT-MINT 8 ,Shipped to you
92779488,Card,2023 PANINI PRIZM 368 JORDAN ADDISON NEON GREEN PULSAR,MINT 9 ,Shipped to you
92779489,Card,2023 PANINI MOSAIC RAZZLE DAZZLE RD5 JOSH ALLEN,GEM MINT 10 ,Shipped to you
92779490,Card,2023 PANINI PRIZM 318 CHASE BROWN PANDORA,MINT 9 ,Shipped to you
92779491,Card,2022 BOWMAN SAPPHIRE EDITION CHROME PROSPECTS BCP50 ELLY DE LA CRUZ,NEAR MINT-MINT 8 ,Shipped to you
92779492,Card,2022 BOWMAN SAPPHIRE EDITION CHROME PROSPECTS BCP50 ELLY DE LA CRUZ,MINT 9 ,Shipped to you
92779493,Card,2021 PANINI PRIZM 334 JUSTIN FIELDS RED/WHITE/BLUE PRIZM,MINT 9 ,Shipped to you
92779494,Card,2023 PANINI MOSAIC 380 ZAY FLOWERS AUTOGRAPH-RED,NEAR MINT 7 ,Shipped to you
92779495,Card,2023 PANINI NATIONAL VIP GOLD ROOKIES RC5 JAHMYR GIBBS PINK SPARKLE,GEM MINT 10 ,Shipped to you
92779496,Card,2023 PANINI PRIZM 331 JAHMYR GIBBS NEON GREEN PULSAR,GEM MINT 10 ,Shipped to you
92779497,Card,2023 PANINI DONRUSS 331 JAHMYR GIBBS OPTIC PREVIEW-GREEN VELOCITY,GEM MINT 10 ,Shipped to you
92779498,Card,2023 PANINI PRIZM 331 JAHMYR GIBBS PANDORA,GEM MINT 10 ,Shipped to you
92779499,Card,2023 PANINI PRIZM 331 JAHMYR GIBBS NO HUDDLE,GEM MINT 10 ,Shipped to you
92779500,Card,2020 PANINI PRIZM 398 JUSTIN JEFFERSON DISCO PRIZM,GEM MINT 10 ,Shipped to you
92779501,Card,2023 PANINI PRIZM 308 DALTON KINCAID ORANGE ICE,GEM MINT 10 ,Shipped to you
92779502,Card,2020 PANINI DONRUSS OPTIC 156 CEEDEE LAMB BLUE SCOPE,EXCELLENT-MINT 6 ,Shipped to you
92779503,Card,2023 PANINI PRIZM 397 WILL LEVIS NEON GREEN PULSAR,GEM MINT 10 ,Shipped to you
92779504,Card,2023 PANINI PRIZM 397 WILL LEVIS PANDORA,MINT 9 ,Shipped to you
92779505,Card,2023 PANINI PRIZM 397 WILL LEVIS PURPLE WAVE,GEM MINT 10 ,Shipped to you
92779506,Card,2020 PANINI DONRUSS OPTIC 154 JORDAN LOVE PURPLE SHOCK,MINT 9 ,Shipped to you
92779507,Card,2020 PANINI DONRUSS OPTIC 154 JORDAN LOVE BRONZE,MINT 9 ,Shipped to you
92779508,Card,2020 PANINI DONRUSS OPTIC 154 JORDAN LOVE HOLO,GEM MINT 10 ,Shipped to you
92779509,Card,2020 PANINI DONRUSS OPTIC 154 JORDAN LOVE BLUE HYPER,MINT 9 ,Shipped to you
92779510,Card,2023 PANINI PRIZM 357 PUKA NACUA GREEN SCOPE,GEM MINT 10 ,Shipped to you
92779511,Card,2022 PANINI DONRUSS P374 BROCK PURDY OPTIC PREVIEW-RED AND GREEN,MINT 9 ,Shipped to you
92779512,Card,2022 PANINI MOSAIC 367 BROCK PURDY REACTIVE ORANGE,GEM MINT 10 ,Shipped to you
92779513,Card,2023 PANINI DONRUSS 343 ANTHONY RICHARDSON OPTIC PREVIEW-RED WAVE,GEM MINT 10 ,Shipped to you
92779514,Card,2023 PANINI MOSAIC 282 ANTHONY RICHARDSON RED & GREEN CHOICE,GEM MINT 10 ,Shipped to you
92779515,Card,2023 PANINI PRIZM 309 JAXON SMITH-NJIGBA VARIATION-NO HUDDLE,GEM MINT 10 ,Shipped to you
92779516,Card,2023 PANINI DONRUSS 339 CJ STROUD OPTIC PREVIEW-BLUE SCOPE,GEM MINT 10 ,Shipped to you
92779517,Card,2023 PANINI PRIZM 339 CJ STROUD LAZER PRIZM,GEM MINT 10 ,Shipped to you
92779518,Card,2023 PANINI PRIZM DRAFT PICKS 2 VICTOR WEMBANYAMA GREEN PRIZM,EXCELLENT 5 ,Shipped to you
92779519,Card,2023 PANINI PRIZM 136 VICTOR WEMBANYAMA,GEM MINT 10 ,Shipped to you
92779520,Card,2023 PANINI PRIZM INSTANT IMPACT 3 VICTOR WEMBANYAMA SILVER PRIZM,GEM MINT 10 ,Shipped to you
92779521,Card,2023 PANINI PRIZM 311 BRYCE YOUNG PINK PRIZM,NEAR MINT-MINT 8 ,Shipped to you
92779522,Card,2023 PANINI PRIZM 311 BRYCE YOUNG LAZER PRIZM,GEM MINT 10 ,Shipped to you
92779523,Card,2023 PANINI PRIZM 169 EMONI BATES FAST BREAK,GEM MINT 10 ,Shipped to you
92779524,Card,2023 PANINI PRIZM 169 EMONI BATES BLUE YELLOW GREEN CHOICE,NEAR MINT 7 ,Shipped to you
92779525,Card,2023 PANINI PRIZM 169 EMONI BATES TEAL ICE,GEM MINT 10 ,Shipped to you
92779526,Card,2023 PANINI PRIZM 169 EMONI BATES RED ICE,GEM MINT 10 ,Shipped to you
92779527,Card,2023 PANINI PRIZM MONOPOLY 6 KOBE BUFKIN DICE,GEM MINT 10 ,Shipped to you
92779528,Card,2018 BOWMAN DRAFT BDC4 LAWRENCE BUTLER CHROME-REFRACTOR,GEM MINT 10 ,Shipped to you
92779529,Card,2018 BOWMAN DRAFT BDC4 LAWRENCE BUTLER CHROME-REFRACTOR,MINT 9 ,Shipped to you
92779530,Card,2023 PANINI PRIZM 360 AIDAN O'CONNELL BLACK & WHITE CHECKER,MINT 9 ,Shipped to you
92779531,Card,2023 PANINI PRIZM 127 KEYONTE GEORGE GREEN PRIZM,GEM MINT 10 ,Shipped to you
92779532,Card,2023 PANINI PRIZM 127 KEYONTE GEORGE GREEN PRIZM,GEM MINT 10 ,Shipped to you
92779533,Card,2023 PANINI PRIZM 127 KEYONTE GEORGE VARIATION-FAST BREAK,GEM MINT 10 ,Shipped to you
92779534,Card,2023 PANINI PRIZM 127 KEYONTE GEORGE FAST BREAK,GEM MINT 10 ,Shipped to you
92779535,Card,2023 PANINI PRIZM 127 KEYONTE GEORGE RED ICE,GEM MINT 10 ,Shipped to you
92779536,Card,2023 PANINI PRIZM 127 KEYONTE GEORGE ICE,GEM MINT 10 ,Shipped to you
92779537,Card,2023 PANINI PRIZM 127 KEYONTE GEORGE PINK ICE,GEM MINT 10 ,Shipped to you
92779538,Card,2023 PANINI PRIZM 161 TAYLOR HENDRICKS PINK ICE,GEM MINT 10 ,Shipped to you
92779539,Card,2023 PANINI PRIZM 179 GG JACKSON II SILVER PRIZM,GEM MINT 10 ,Shipped to you
92779540,Card,2023 PANINI PRIZM 179 GG JACKSON II PINK ICE,GEM MINT 10 ,Shipped to you
92779541,Card,2023 PANINI PRIZM 137 JAIME JAQUEZ JR. PINK ICE,GEM MINT 10 ,Shipped to you
92779542,Card,2023 PANINI PRIZM 137 JAIME JAQUEZ JR. SILVER PRIZM,GEM MINT 10 ,Shipped to you
92779543,Card,2023 PANINI DONRUSS 353 QUENTIN JOHNSTON OPTIC PREVIEW-GREEN VELOCITY,MINT 9 ,Shipped to you
92779544,Card,2023 PANINI PRIZM MONOPOLY 40 LeBRON JAMES SPARKLE,GEM MINT 10 ,Shipped to you
92779545,Card,2023 PANINI PRIZM 136 VICTOR WEMBANYAMA,GEM MINT 10 ,Shipped to you
92779546,Card,2023 PANINI DONRUSS 331 JAHMYR GIBBS OPTIC PREVIEW-BLUE SCOPE,GEM MINT 10 ,Shipped to you
