"Cert #","Type","Description","Grade","After Service"
"95270513","Card","2023 PANINI PRIZM 365 De'VON ACHANE NO HUDDLE BLUE","GEM MINT 10 ","Shipped to you"
"95270514","Card","2023 PANINI DONRUSS OPTIC DOWNTOWN! D4 JOE BURROW","GEM MINT 10 ","Shipped to you"
"95270515","Card","2023 PANINI PRIZM 341 TANK DELL PURPLE WAVE","GEM MINT 10 ","Shipped to you"
"95270516","Card","2023 PANINI PRIZM 353 QUENTIN JOHNSTON BLUE WAVE","MINT 9 ","Shipped to you"
"95270517","Card","2023 PANINI PRIZM 332 SAM LaPORTA PURPLE WAVE","MINT 9 ","Shipped to you"
"95270518","Card","2023 PANINI PRIZM 334 JAYDEN REED BLACK & WHITE CHECKER","GEM MINT 10 ","Shipped to you"
"95270519","Card","2023 PANINI PRIZM 334 JAYDEN REED BLUE WAVE","MINT 9 ","Shipped to you"
"95270520","Card","2023 PANINI PRIZM 314 ROSCHON JOHNSON PURPLE WAVE","MINT 9 ","Shipped to you"
"95270521","Card","2023 PANINI PRIZM 301 BRYCE YOUNG VARIATION-NO HUDDLE","MINT 9 ","Shipped to you"
"95270522","Card","2023 PANINI PRIZM 378 JALIN HYATT PURPLE PULSAR","GEM MINT 10 ","Shipped to you"
"95270523","Card","2023 PANINI DONRUSS OPTIC MYTHICAL 1 JUSTIN FIELDS","GEM MINT 10 ","Shipped to you"
"95270524","Card","2023 PANINI PRIZM 332 SAM LaPORTA ORANGE ICE","GEM MINT 10 ","Shipped to you"
"95270525","Card","2023 PANINI PRIZM 397 WILL LEVIS GREEN PRIZM","MINT 9 ","Shipped to you"
"95270526","Card","2023 PANINI PRIZM 361 MICHAEL MAYER ORANGE PRIZM","GEM MINT 10 ","Shipped to you"
"95270527","Card","2023 PANINI PRIZM 312 JONATHAN MINGO AUTOGRAPH-NO HUDDLE","GEM MINT 10 ","Shipped to you"
"95270528","Card","2023 PANINI DONRUSS OPTIC 244 CJ STROUD PINK","GEM MINT 10 ","Shipped to you"
"95270529","Card","2023 PANINI PRIZM 311 BRYCE YOUNG ORANGE ICE","MINT 9 ","Shipped to you"
"95270530","Card","2023 PANINI PRIZM 311 BRYCE YOUNG LAZER PRIZM","MINT 9 ","Shipped to you"
"95270531","Card","2023 PANINI PRIZM 365 De'VON ACHANE ORANGE ICE","GEM MINT 10 ","Shipped to you"
"95270532","Card","2023 PANINI ILLUSIONS MYSTIQUE 9 DE'VON ACHANE PINK","MINT 9 ","Shipped to you"
"95270533","Card","2023 PANINI PRIZM 381 JALEN CARTER BLUE SPARKLE","MINT 9 ","Shipped to you"
"95270534","Card","2023 PANINI PRIZM 307 QUENTIN JOHNSTON VARIATION","MINT 9 ","Shipped to you"
"95270535","Card","2023 PANINI PRIZM 353 QUENTIN JOHNSTON NO HUDDLE BLUE","MINT 9 ","Shipped to you"
"95270536","Card","2023 PANINI PRIZM 353 QUENTIN JOHNSTON ORANGE PRIZM","GEM MINT 10 ","Shipped to you"
"95270537","Card","2022 PANINI DONRUSS OPTIC 223 GEORGE PICKENS RED HYPER","MINT 9 ","Shipped to you"
"95270538","Card","2023 PANINI PRIZM 305 BIJAN ROBINSON GREEN WAVE","MINT 9 ","Shipped to you"
"95270539","Card","2023 PANINI MOSAIC NFL DEBUT ND12 JAXON SMITH-NJIGBA GENESIS","MINT 9 ","Shipped to you"
"95270540","Card","2023 PANINI PRIZM 390 JAXON SMITH-NJIGBA ORANGE ICE","MINT 9 ","Shipped to you"
"95270541","Card","2023 PANINI PRIZM 311 BRYCE YOUNG SILVER PRIZM","GEM MINT 10 ","Shipped to you"
"95270542","Card","2023 PANINI PRIZM 311 BRYCE YOUNG ORANGE ICE","MINT 9 ","Shipped to you"
"95270543","Card","2023 PANINI PRIZM 343 ANTHONY RICHARDSON SILVER PRIZM","MINT 9 ","Shipped to you"
